--- chiEFTparameters used ---
n_mesh = 50
pmax_fm = 5.0
emax = 4
Nnmax = 20
chi_order = 4
calc_NN = true
calc_3N = true
coulomb = true
calc_EperA = false
hw = 20.0
srg = true
srg_lambda = 2.0
tbme_fmt = snt.bin
fn_tbme = tbme_emn500n4lo_2n3n_srg2.0hw20emax4.snt.bin
pottype = emn500n4lo
LambdaSFR = 700.0
target_nlj = Vector{Int64}[]
v_chi_order = 0
n_mesh_P = 10
Pmax_fm = 3.0
kF = 1.35
BetaCM = 0.0
-----------------------------
size of dWS (jmax 9 lmax 40 e2max 8 Nnmax 20):
     dtri    4.46 MB    dcgm0    1.11 MB  d6j_int    1.11 MB   d6j_lj    0.28 MB
  d9j_lsj    1.76 MB  dictHOB    0.44 MB
# of two-body states 78
# of sp states 15
# of channels 2bstate 55 #TBME = 34320
size of dWS (jmax 9 lmax 40 e2max 8 Nnmax 20):
     dtri    4.46 MB    dcgm0    1.11 MB  d6j_int    1.11 MB   d6j_lj    0.28 MB
  d9j_lsj    1.76 MB  dictHOB    0.44 MB
target: O16 Ref. => Z=8 N=8 E:     -86.8656  = E1b    329.29  + E2b   -416.16   (    -35.64  -327.21   -53.31)
EMP2    -23.15627 1b    -0.000 pp    -2.982 pn   -17.138 nn    -3.036
EMP3      0.47114 pp     0.637 hh    -1.206 ph     1.040
E_HF    -86.86559  E_MBPT(3) =    -109.5507  Eexp:     -127.619

parameters in ann_sample_params.jl will be used.
 step:        s             E0   ||Omega_1||   ||Omega_2||     ||Eta_1||     ||Eta_2||    Ncomm.  nwritten
   145   36.250  -111.84658133  2.893867e-01  1.622704e+00  8.805347e-05  2.997995e-04      1684         0
   146   36.500  -111.84658965  2.893994e-01  1.622706e+00  8.626351e-05  2.937179e-04      1695         0
   147   36.750  -111.84659781  2.894118e-01  1.622708e+00  8.451014e-05  2.877596e-04      1706         0
   148   37.000  -111.84660579  2.894240e-01  1.622710e+00  8.279259e-05  2.819221e-04      1717         0
   149   37.250  -111.84661360  2.894359e-01  1.622712e+00  8.111010e-05  2.762028e-04      1728         0
   150   37.500  -111.84662124  2.894476e-01  1.622714e+00  7.946195e-05  2.705995e-04      1739         0
   151   37.750  -111.84662873  2.894591e-01  1.622716e+00  7.784741e-05  2.651098e-04      1750         0
   152   38.000  -111.84663606  2.894703e-01  1.622718e+00  7.626579e-05  2.597313e-04      1761         0
   153   38.250  -111.84664323  2.894813e-01  1.622720e+00  7.471641e-05  2.544619e-04      1772         0
   154   38.500  -111.84665025  2.894920e-01  1.622722e+00  7.319859e-05  2.492993e-04      1783         0
   155   38.750  -111.84665713  2.895026e-01  1.622724e+00  7.171169e-05  2.442414e-04      1794         0
   156   39.000  -111.84666386  2.895129e-01  1.622726e+00  7.025507e-05  2.392860e-04      1805         0
   157   39.250  -111.84667045  2.895230e-01  1.622728e+00  6.882810e-05  2.344311e-04      1816         0
   158   39.500  -111.84667690  2.895329e-01  1.622729e+00  6.743018e-05  2.296747e-04      1827         0
   159   39.750  -111.84668322  2.895426e-01  1.622731e+00  6.606069e-05  2.250147e-04      1838         0
